Date,Open,High,Low,Close,Adj Close,Volume
2020-12-07,5.010000,5.280000,5.010000,5.140000,5.112376,184122
2020-12-08,5.080000,5.220000,5.040000,5.160000,5.132269,70439
2020-12-09,5.160000,5.205000,5.120000,5.150000,5.122323,56799
2020-12-10,5.090000,5.100000,4.950000,4.970000,4.943290,123711
2020-12-11,4.970000,4.970000,4.810000,4.870000,4.843827,211090
2020-12-14,4.900000,5.030000,4.850000,5.010000,4.983075,81134
2020-12-15,4.880000,4.980000,4.850000,4.900000,4.873666,66545
2020-12-16,4.900000,4.910000,4.770000,4.770000,4.744365,123678
2020-12-17,4.870000,4.890000,4.790000,4.860000,4.833881,47317
2020-12-18,4.850000,4.850000,4.760000,4.800000,4.774204,41094
2020-12-21,4.750000,4.820000,4.685000,4.720000,4.694633,54404
2020-12-22,4.700000,4.700000,4.550000,4.600000,4.575278,43541
2020-12-23,4.600000,4.665000,4.520000,4.520000,4.495708,31525
2020-12-24,4.550000,4.610000,4.530000,4.550000,4.525548,37232
2020-12-29,4.585000,4.610000,4.520000,4.600000,4.575278,42922
2020-12-30,4.580000,4.620000,4.550000,4.620000,4.595171,4880
2020-12-31,4.550000,4.660000,4.520000,4.520000,4.495708,62628
2021-01-04,4.540000,4.540000,4.420000,4.450000,4.426085,55420
2021-01-05,4.500000,4.500000,4.420000,4.450000,4.426085,56681
2021-01-06,4.450000,4.490000,4.360000,4.400000,4.376353,105499
2021-01-07,4.500000,4.500000,4.400000,4.400000,4.376353,45915
2021-01-08,4.400000,4.440000,4.400000,4.400000,4.376353,47062
2021-01-11,4.440000,4.440000,4.390000,4.420000,4.396246,66854
2021-01-12,4.420000,4.450000,4.420000,4.420000,4.396246,62036
2021-01-13,4.430000,4.500000,4.430000,4.470000,4.445977,27910
2021-01-14,4.500000,4.620000,4.470000,4.620000,4.595171,207672
2021-01-15,4.590000,4.750000,4.590000,4.750000,4.724473,32675
2021-01-18,4.720000,4.930000,4.720000,4.930000,4.903505,46947
2021-01-19,4.920000,4.920000,4.830000,4.830000,4.804042,16534
2021-01-20,4.850000,4.850000,4.750000,4.800000,4.774204,7497
2021-01-21,4.800000,4.810000,4.740000,4.810000,4.784150,33020
2021-01-22,4.900000,4.900000,4.700000,4.850000,4.823935,43709
2021-01-25,4.780000,4.830000,4.700000,4.700000,4.674741,24286
2021-01-27,4.680000,4.680000,4.520000,4.550000,4.525548,57543
2021-01-28,4.520000,4.560000,4.450000,4.550000,4.525548,31132
2021-01-29,4.550000,4.620000,4.500000,4.500000,4.475816,49863
2021-02-01,4.440000,4.500000,4.420000,4.450000,4.426085,13689
2021-02-02,4.440000,4.560000,4.420000,4.480000,4.455924,49687
2021-02-03,4.480000,4.670000,4.420000,4.540000,4.515601,47853
2021-02-04,4.550000,4.660000,4.540000,4.660000,4.634956,17587
2021-02-05,4.650000,4.650000,4.560000,4.560000,4.535493,33866
2021-02-08,4.560000,4.660000,4.530000,4.550000,4.525548,90155
2021-02-09,4.640000,4.690000,4.620000,4.690000,4.664795,43262
2021-02-10,4.650000,4.700000,4.500000,4.500000,4.475816,53512
2021-02-11,4.500000,4.700000,4.500000,4.700000,4.674741,37484
2021-02-12,4.600000,4.670000,4.470000,4.590000,4.565332,38483
2021-02-15,4.450000,4.620000,4.450000,4.580000,4.555386,24218
2021-02-16,4.450000,4.570000,4.430000,4.490000,4.465869,46250
2021-02-17,4.490000,4.550000,4.420000,4.450000,4.426085,198981
2021-02-18,4.450000,4.570000,4.380000,4.510000,4.485762,75041
2021-02-19,4.800000,4.830000,4.750000,4.790000,4.764257,766567
2021-02-22,5.000000,5.280000,4.960000,5.170000,5.142215,215869
2021-02-23,5.200000,5.220000,5.060000,5.180000,5.152161,261502
2021-02-24,5.260000,5.370000,5.100000,5.300000,5.271517,341520
2021-02-25,5.370000,5.520000,5.350000,5.460000,5.430656,149654
2021-02-26,5.330000,5.590000,5.300000,5.550000,5.520173,60297
2021-03-01,5.590000,5.590000,5.350000,5.410000,5.380925,33554
2021-03-02,5.370000,5.570000,5.370000,5.500000,5.470442,127347
2021-03-03,5.520000,5.550000,5.440000,5.480000,5.450549,186465
2021-03-04,5.470000,5.470000,5.320000,5.350000,5.321248,218693
2021-03-05,5.360000,5.360000,5.170000,5.270000,5.241678,666483
2021-03-08,5.150000,5.310000,5.150000,5.250000,5.221785,66513
2021-03-09,5.270000,5.300000,5.230000,5.270000,5.241678,70569
2021-03-10,5.320000,5.320000,5.220000,5.300000,5.271517,44025
2021-03-11,5.360000,5.360000,5.290000,5.330000,5.301355,61715
2021-03-12,5.310000,5.310000,5.250000,5.270000,5.241678,79824
2021-03-15,5.260000,5.350000,5.240000,5.290000,5.261570,95416
2021-03-16,5.290000,5.310000,5.275000,5.300000,5.271517,36314
2021-03-17,5.300000,5.300000,5.180000,5.210000,5.182000,152578
2021-03-18,5.170000,5.530000,5.170000,5.230000,5.230000,66548
2021-03-19,5.280000,5.540000,5.280000,5.480000,5.480000,102782
2021-03-22,5.440000,5.480000,5.365000,5.390000,5.390000,106922
2021-03-23,5.390000,5.470000,5.320000,5.340000,5.340000,49734
2021-03-24,5.430000,5.500000,5.400000,5.450000,5.450000,134750
2021-03-25,5.470000,5.640000,5.470000,5.610000,5.610000,52393
2021-03-26,5.650000,6.140000,5.650000,5.850000,5.850000,81727
2021-03-29,5.900000,5.900000,5.740000,5.830000,5.830000,62456
2021-03-30,5.890000,6.160000,5.860000,5.900000,5.900000,162588
2021-03-31,5.910000,5.940000,5.720000,5.730000,5.730000,146170
2021-04-01,5.750000,5.760000,5.590000,5.680000,5.680000,94617
2021-04-06,5.700000,5.750000,5.590000,5.670000,5.670000,52581
2021-04-07,5.640000,5.650000,5.610000,5.650000,5.650000,24203
