Date,Close
2/03/2015,0.00612497
3/03/2015,-0.004538606
4/03/2015,-0.004388504
5/03/2015,0.001196075
6/03/2015,-0.014173933
9/03/2015,0.003944459
10/03/2015,-0.016961379
11/03/2015,-0.001917658
12/03/2015,0.012601459
13/03/2015,-0.006074687
16/03/2015,0.013533652
17/03/2015,-0.003320216
18/03/2015,0.012158436
19/03/2015,-0.004872589
20/03/2015,0.009012717
23/03/2015,-0.001745648
24/03/2015,-0.006139459
25/03/2015,-0.014558929
26/03/2015,-0.002377429
27/03/2015,0.002368504
30/03/2015,0.01223666
31/03/2015,-0.008795728
1/04/2015,-0.003965395
2/04/2015,0.003529657
6/04/2015,0.006608739
7/04/2015,-0.002061885
8/04/2015,0.002682618
9/04/2015,0.004457467
10/04/2015,0.005202804
13/04/2015,-0.00458122
14/04/2015,0.001629684
15/04/2015,0.005148294
16/04/2015,-0.000778495
17/04/2015,-0.011311218
20/04/2015,0.009235145
21/04/2015,-0.00148067
22/04/2015,0.005087518
23/04/2015,0.00235773
24/04/2015,0.002252796
27/04/2015,-0.004141305
28/04/2015,0.00276919
29/04/2015,-0.003740377
30/04/2015,-0.010128865
1/05/2015,0.010922988
4/05/2015,0.002940772
5/05/2015,-0.01183737
6/05/2015,-0.004455697
7/05/2015,0.003773766
8/05/2015,0.013457854
11/05/2015,-0.005089552
12/05/2015,-0.002949656
13/05/2015,-0.00030489
14/05/2015,0.010779231
15/05/2015,0.000768469
18/05/2015,0.003047962
19/05/2015,-0.000643434
20/05/2015,-0.000930525
21/05/2015,0.002337888
22/05/2015,-0.002233882
26/05/2015,-0.01028193
27/05/2015,0.009162627
28/05/2015,-0.001266788
29/05/2015,-0.0063184
1/06/2015,0.002059419
2/06/2015,-0.001008652
3/06/2015,0.002118885
4/06/2015,-0.008623177
5/06/2015,-0.001436178
8/06/2015,-0.006474487
9/06/2015,0.000418414
10/06/2015,0.012042401
11/06/2015,0.001738552
12/06/2015,-0.0069943
15/06/2015,-0.004622489
16/06/2015,0.005689805
17/06/2015,0.001979688
18/06/2015,0.009902687
19/06/2015,-0.005303502
22/06/2015,0.006094816
23/06/2015,0.000635938
24/06/2015,-0.007353357
25/06/2015,-0.002973565
26/06/2015,-0.000390047
29/06/2015,-0.020866147
30/06/2015,0.002658385
1/07/2015,0.00693613
2/07/2015,-0.000308074
6/07/2015,-0.003861748
7/07/2015,0.006080937
8/07/2015,-0.016652733
9/07/2015,0.0022622
10/07/2015,0.012338457
13/07/2015,0.011066059
14/07/2015,0.004457992
15/07/2015,-0.000739701
16/07/2015,0.008014615
17/07/2015,0.001106252
20/07/2015,0.00077117
21/07/2015,-0.004261657
22/07/2015,-0.002387682
23/07/2015,-0.00567604
24/07/2015,-0.010703328
27/07/2015,-0.00577501
28/07/2015,0.012386102
29/07/2015,0.007318763
30/07/2015,2.85E-05
31/07/2015,-0.002271617
3/08/2015,-0.002756864
4/08/2015,-0.002249719
5/08/2015,0.00311467
