Date,Open,High,Low,Close,Adj Close,Volume
2020-08-31,0.060000,0.060000,0.060000,0.060000,0.060000,0
2020-09-01,0.060000,0.060000,0.060000,0.060000,0.060000,0
2020-09-02,0.065000,0.065000,0.065000,0.065000,0.065000,3076
2020-09-03,0.065000,0.065000,0.065000,0.065000,0.065000,0
2020-09-04,0.065000,0.070000,0.065000,0.070000,0.070000,266000
2020-09-08,0.070000,0.070000,0.070000,0.070000,0.070000,104000
2020-09-09,0.080000,0.085000,0.080000,0.085000,0.085000,114000
2020-09-10,0.090000,0.110000,0.090000,0.110000,0.110000,919000
2020-09-11,0.095000,0.095000,0.090000,0.090000,0.090000,34500
2020-09-14,0.100000,0.100000,0.090000,0.090000,0.090000,229000
2020-09-15,0.095000,0.110000,0.095000,0.100000,0.100000,518000
2020-09-16,0.100000,0.240000,0.085000,0.145000,0.145000,2030450
2020-09-17,0.140000,0.140000,0.120000,0.120000,0.120000,562738
2020-09-18,0.135000,0.160000,0.130000,0.130000,0.130000,572349
2020-09-21,0.145000,0.150000,0.130000,0.130000,0.130000,73862
2020-09-22,0.140000,0.140000,0.110000,0.125000,0.125000,198500
2020-09-23,0.170000,0.180000,0.140000,0.140000,0.140000,967432
2020-09-24,0.150000,0.190000,0.150000,0.175000,0.175000,694985
2020-09-25,0.210000,0.210000,0.160000,0.180000,0.180000,455442
2020-09-28,0.180000,0.190000,0.160000,0.165000,0.165000,326800
2020-09-29,0.185000,0.185000,0.170000,0.175000,0.175000,392610
2020-09-30,0.195000,0.220000,0.190000,0.210000,0.210000,619500
2020-10-01,0.220000,0.220000,0.210000,0.220000,0.220000,66059
2020-10-02,0.200000,0.220000,0.185000,0.200000,0.200000,171534
2020-10-05,0.220000,0.235000,0.200000,0.210000,0.210000,726367
2020-10-06,0.210000,0.210000,0.200000,0.205000,0.205000,365000
2020-10-07,0.200000,0.200000,0.175000,0.175000,0.175000,130210
2020-10-08,0.190000,0.195000,0.190000,0.195000,0.195000,26000
2020-10-09,0.205000,0.205000,0.195000,0.195000,0.195000,20500
2020-10-13,0.210000,0.210000,0.200000,0.200000,0.200000,557826
2020-10-14,0.205000,0.205000,0.190000,0.200000,0.200000,639200
2020-10-15,0.200000,0.205000,0.200000,0.205000,0.205000,458100
2020-10-16,0.210000,0.220000,0.210000,0.210000,0.210000,144890
2020-10-19,0.210000,0.210000,0.210000,0.210000,0.210000,0
2020-10-20,0.210000,0.210000,0.210000,0.210000,0.210000,0
2020-10-21,0.210000,0.210000,0.210000,0.210000,0.210000,0
2020-10-22,0.235000,0.350000,0.230000,0.270000,0.270000,563365
2020-10-23,0.260000,0.270000,0.250000,0.270000,0.270000,161507
2020-10-26,0.270000,0.270000,0.250000,0.260000,0.260000,354145
2020-10-27,0.270000,0.270000,0.270000,0.270000,0.270000,2125
2020-10-28,0.255000,0.260000,0.220000,0.230000,0.230000,157000
2020-10-29,0.230000,0.230000,0.195000,0.195000,0.195000,441055
2020-10-30,0.200000,0.205000,0.200000,0.205000,0.205000,23900
2020-11-02,0.200000,0.200000,0.200000,0.200000,0.200000,1000
2020-11-03,0.200000,0.200000,0.180000,0.200000,0.200000,190030
2020-11-04,0.190000,0.190000,0.190000,0.190000,0.190000,9500
2020-11-05,0.195000,0.205000,0.195000,0.205000,0.205000,155500
2020-11-06,0.225000,0.225000,0.200000,0.200000,0.200000,120200
2020-11-09,0.230000,0.240000,0.220000,0.230000,0.230000,172448
2020-11-10,0.240000,0.240000,0.225000,0.225000,0.225000,5000
2020-11-11,0.240000,0.240000,0.225000,0.230000,0.230000,418500
2020-11-12,0.230000,0.230000,0.220000,0.220000,0.220000,321575
2020-11-13,0.300000,0.305000,0.270000,0.305000,0.305000,957279
2020-11-16,0.330000,0.370000,0.330000,0.370000,0.370000,480210
2020-11-17,0.360000,0.370000,0.325000,0.325000,0.325000,250259
2020-11-18,0.350000,0.390000,0.350000,0.390000,0.390000,324873
2020-11-19,0.390000,0.410000,0.390000,0.400000,0.400000,637050
2020-11-20,0.400000,0.410000,0.380000,0.410000,0.410000,636851
2020-11-23,0.435000,0.500000,0.430000,0.440000,0.440000,836893
2020-11-24,0.500000,0.560000,0.500000,0.530000,0.530000,1052718
2020-11-25,0.520000,0.520000,0.470000,0.495000,0.495000,649410
2020-11-26,0.500000,0.500000,0.460000,0.460000,0.460000,502554
2020-11-27,0.450000,0.460000,0.430000,0.445000,0.445000,399800
2020-11-30,0.440000,0.440000,0.390000,0.430000,0.430000,638833
2020-12-01,0.420000,0.450000,0.420000,0.450000,0.450000,165401
2020-12-02,0.450000,0.460000,0.400000,0.450000,0.450000,82519
2020-12-03,0.455000,0.480000,0.455000,0.480000,0.480000,20949
2020-12-04,0.460000,0.480000,0.440000,0.440000,0.440000,62501
2020-12-07,0.475000,0.480000,0.410000,0.410000,0.410000,168043
2020-12-08,0.435000,0.435000,0.420000,0.420000,0.420000,110544
2020-12-09,0.420000,0.420000,0.410000,0.410000,0.410000,65565
2020-12-10,0.445000,0.460000,0.440000,0.445000,0.445000,156691
2020-12-11,0.440000,0.440000,0.440000,0.440000,0.440000,63600
2020-12-14,0.435000,0.435000,0.435000,0.435000,0.435000,8000
2020-12-15,0.425000,0.425000,0.405000,0.405000,0.405000,2930
2020-12-16,0.410000,0.410000,0.410000,0.410000,0.410000,14000
2020-12-17,0.405000,0.430000,0.400000,0.430000,0.430000,53300
2020-12-18,0.470000,0.470000,0.420000,0.420000,0.420000,42550
2020-12-21,0.420000,0.450000,0.420000,0.420000,0.420000,45003
2020-12-22,0.410000,0.415000,0.400000,0.400000,0.400000,39800
2020-12-23,0.405000,0.405000,0.370000,0.390000,0.390000,50217
2020-12-24,0.375000,0.375000,0.355000,0.360000,0.360000,29235
2020-12-29,0.420000,0.420000,0.395000,0.410000,0.410000,26312
2020-12-30,0.420000,0.430000,0.410000,0.410000,0.410000,67800
2020-12-31,0.400000,0.480000,0.400000,0.480000,0.480000,105600
2021-01-04,0.450000,0.450000,0.400000,0.420000,0.420000,94450
2021-01-05,0.435000,0.450000,0.425000,0.450000,0.450000,150114
2021-01-06,0.465000,0.480000,0.465000,0.475000,0.475000,323945
2021-01-07,0.475000,0.475000,0.450000,0.450000,0.450000,45400
2021-01-08,0.470000,0.485000,0.455000,0.485000,0.485000,266000
2021-01-11,0.500000,0.560000,0.440000,0.540000,0.540000,1019206
2021-01-12,0.570000,0.660000,0.560000,0.650000,0.650000,681797
2021-01-13,0.650000,0.650000,0.610000,0.630000,0.630000,305552
2021-01-14,0.660000,0.660000,0.650000,0.660000,0.660000,245115
2021-01-15,0.700000,0.710000,0.670000,0.700000,0.700000,460551
2021-01-18,0.790000,0.820000,0.780000,0.810000,0.810000,615856
2021-01-19,0.810000,0.810000,0.720000,0.760000,0.760000,330399
2021-01-20,0.800000,0.850000,0.770000,0.800000,0.800000,406322
2021-01-21,0.780000,0.800000,0.750000,0.770000,0.770000,78582
2021-01-22,0.710000,0.770000,0.710000,0.720000,0.720000,50802
2021-01-25,0.710000,0.730000,0.650000,0.700000,0.700000,184284
2021-01-26,0.710000,0.840000,0.700000,0.720000,0.720000,209478
2021-01-27,0.740000,0.750000,0.700000,0.720000,0.720000,296642
2021-01-28,0.650000,0.720000,0.650000,0.650000,0.650000,284552
2021-01-29,0.650000,0.690000,0.620000,0.630000,0.630000,80925
2021-02-01,0.610000,0.620000,0.610000,0.620000,0.620000,10363
2021-02-02,0.620000,0.650000,0.620000,0.650000,0.650000,90572
2021-02-03,0.670000,0.680000,0.650000,0.670000,0.670000,157425
2021-02-04,0.700000,0.700000,0.630000,0.640000,0.640000,263320
2021-02-05,0.690000,0.690000,0.670000,0.680000,0.680000,55825
2021-02-08,0.680000,0.680000,0.660000,0.670000,0.670000,42572
2021-02-09,0.670000,0.690000,0.660000,0.670000,0.670000,258188
2021-02-10,0.700000,0.700000,0.640000,0.640000,0.640000,149312
2021-02-11,0.620000,0.640000,0.610000,0.610000,0.610000,191554
2021-02-12,0.610000,0.640000,0.610000,0.630000,0.630000,26028
2021-02-16,0.630000,0.680000,0.610000,0.650000,0.650000,115883
2021-02-17,0.650000,0.650000,0.590000,0.590000,0.590000,312911
2021-02-18,0.580000,0.580000,0.530000,0.530000,0.530000,55467
2021-02-19,0.550000,0.590000,0.540000,0.580000,0.580000,175527
2021-02-22,0.600000,0.600000,0.560000,0.570000,0.570000,235117
